Nitrogen,Phosphorus,Potassium,pH_Value,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Soil_Quality
19.34,56.67,80.56,8.44,15.29,2.17,3.61,21.96,85.48,1659.35,63.3
90.07,27.16,129.0,3.51,32.03,2.18,1.47,40.33,93.97,1918.57,66.6
151.23,14.55,0.92,6.49,13.49,1.18,7.08,10.47,25.52,2805.86,46.25
69.51,60.61,170.68,3.57,43.82,2.2,2.41,36.85,87.25,1864.69,57.67
132.98,48.92,15.22,5.32,50.77,0.5,6.09,15.74,55.39,1761.68,53.17
159.09,9.6,180.13,6.33,26.42,2.26,0.7,41.15,34.25,1127.43,66.85
185.44,39.56,189.89,9.3,26.82,3.15,0.34,26.18,50.9,972.83,67.37
46.93,51.48,198.02,7.75,16.21,1.71,7.96,16.03,89.27,1587.31,54.73
79.86,82.69,161.9,5.86,21.86,2.7,1.07,38.63,29.77,40.22,72.04
30.48,7.61,28.37,6.69,22.81,2.26,6.15,27.61,27.89,1728.42,59.64
198.5,34.85,141.23,8.81,13.56,0.11,4.88,12.15,97.26,1000.17,45.6
185.4,82.27,40.66,5.45,22.05,0.51,3.68,11.15,43.48,2326.75,55.77
107.99,64.84,179.43,7.5,54.9,2.73,0.39,18.88,88.9,411.46,75.85
168.41,29.0,63.32,5.2,22.9,0.24,2.7,34.98,64.92,2168.04,53.61
104.19,84.53,65.36,6.62,20.09,3.35,7.21,25.2,39.23,1338.93,76.6
124.72,49.33,183.53,3.66,26.16,3.14,7.25,28.42,43.6,1262.83,70.85
17.82,49.84,2.65,9.04,57.82,1.33,4.84,14.76,52.96,136.1,40.49
151.05,97.66,38.79,3.81,47.05,1.16,4.64,35.21,31.96,1031.0,46.58
25.54,94.71,84.39,4.96,16.1,2.18,3.46,22.64,76.8,2797.13,59.07
165.21,35.85,140.14,5.67,46.39,2.18,6.23,21.72,53.41,36.7,62.01
156.41,14.06,129.51,7.56,47.14,0.4,7.08,30.37,91.14,430.21,49.73
141.75,32.57,133.88,8.18,57.26,0.83,5.85,36.79,93.25,2357.49,51.41
7.23,3.05,176.0,4.02,54.01,2.26,4.25,10.85,93.09,1218.73,45.14
60.63,2.08,24.21,3.78,10.24,2.82,5.11,11.71,71.94,442.44,50.09
52.62,39.55,104.43,8.69,30.0,0.75,1.84,13.36,58.09,520.54,70.87
72.03,94.1,145.1,8.13,43.66,2.49,7.93,39.61,26.75,357.99,55.78
17.53,87.14,127.22,8.91,58.54,3.06,7.49,39.94,80.44,131.84,49.45
187.39,51.14,89.66,7.9,9.68,0.5,7.66,32.34,27.12,2975.26,47.09
110.76,56.52,3.42,8.38,25.25,1.59,1.42,11.61,34.6,1462.72,66.81
61.1,0.59,12.09,5.96,32.07,2.99,5.26,36.28,87.42,799.21,62.78
79.4,21.55,23.79,7.34,27.73,1.36,5.29,40.37,88.3,1557.52,58.06
89.44,2.48,68.65,8.74,30.07,1.02,2.91,42.04,54.78,1109.39,64.02
120.12,75.45,23.53,4.62,25.3,2.64,6.93,38.09,77.6,2444.0,57.78
103.14,14.56,85.22,6.25,58.38,1.46,6.28,25.7,37.61,1800.59,65.24
183.88,86.9,35.73,8.31,49.18,2.5,5.78,26.06,91.73,2491.03,56.93
99.39,64.33,155.83,6.96,45.52,0.53,0.33,27.4,72.32,707.05,75.98
198.43,22.94,174.3,7.93,27.59,1.98,7.93,26.59,88.62,1623.44,51.15
170.28,15.77,77.93,5.4,53.48,1.39,5.78,28.0,51.35,789.86,58.0
41.7,62.76,102.27,3.71,10.13,3.49,7.76,12.85,23.2,756.19,55.54
186.12,90.08,190.7,3.69,12.89,2.11,0.79,38.51,99.45,542.06,51.6
23.27,71.84,107.1,9.63,57.47,2.42,5.59,10.1,80.97,1204.38,52.81
163.49,34.85,199.01,9.64,36.18,0.55,5.98,11.09,33.31,2090.75,45.34
76.12,58.74,28.43,4.87,13.77,3.47,0.61,10.93,71.21,1523.01,75.05
175.59,31.08,172.45,4.46,57.2,0.27,0.61,41.51,95.65,2917.67,41.53
173.61,99.91,99.44,3.62,58.62,0.34,6.12,44.84,91.86,796.68,36.15
161.19,74.88,4.54,5.0,53.48,0.36,6.4,20.4,95.2,2071.02,42.13
158.01,61.44,194.44,5.67,18.12,3.06,7.29,14.39,28.8,1124.39,64.34
60.94,42.33,193.01,5.07,20.32,2.58,6.2,10.66,88.33,1045.9,60.12
16.18,61.82,76.65,8.68,27.38,3.41,2.0,41.56,91.31,1296.15,68.83
80.6,34.16,190.83,8.37,36.86,0.33,7.75,22.52,34.46,720.33,53.46
34.7,2.89,28.2,4.03,59.57,2.45,2.21,27.23,76.6,2799.68,45.76
138.99,39.51,136.02,8.03,57.59,1.91,5.84,23.13,75.42,1136.63,59.94
69.22,93.05,38.39,6.88,55.66,2.27,4.28,41.75,75.09,791.37,56.01
195.12,62.63,49.33,4.36,9.91,1.84,1.07,39.14,65.81,1765.71,55.43
128.19,8.4,155.87,8.31,46.64,2.4,7.42,41.37,39.05,491.44,54.45
164.5,88.5,75.47,4.06,53.23,3.18,4.74,25.04,28.6,2190.03,61.02
26.5,26.89,1.43,4.65,23.33,2.1,0.83,17.59,39.66,1219.4,58.93
172.4,24.38,82.85,4.47,17.08,3.15,3.13,31.07,93.15,1567.65,62.24
184.55,29.71,45.61,9.6,46.16,2.76,6.14,17.39,38.06,2499.34,48.75
97.41,57.72,136.67,8.04,10.0,3.04,4.99,21.38,54.54,433.47,75.54
121.25,54.47,38.89,6.17,56.75,2.34,1.87,43.08,55.27,1761.85,76.21
152.96,49.14,168.45,8.84,13.58,1.86,4.6,40.49,93.95,101.96,54.66
34.97,71.75,53.42,4.9,30.16,0.34,2.54,25.3,29.2,1195.84,57.61
100.51,31.65,78.61,9.55,59.05,2.94,4.27,21.23,58.28,2561.11,66.64
79.73,78.21,59.61,8.03,59.35,0.92,2.61,30.26,84.76,2175.17,58.12
29.27,17.53,128.78,7.14,47.68,0.22,4.02,36.7,24.94,2355.94,50.9
73.51,78.26,20.23,8.67,51.16,1.86,6.75,16.8,79.66,1259.95,50.68
13.63,66.38,95.62,7.69,58.19,2.25,1.77,41.74,27.52,1431.2,62.79
5.16,68.32,66.89,9.27,56.01,2.35,0.11,16.56,56.19,2520.72,54.74
27.03,48.16,176.83,8.89,39.22,2.38,1.32,31.35,32.64,1518.56,62.2
192.62,66.7,14.68,4.79,45.4,2.32,6.75,29.24,51.19,1779.62,56.29
109.91,7.98,165.94,5.06,37.66,2.85,3.38,21.51,22.98,2527.55,69.0
193.16,85.16,33.54,3.92,32.86,2.72,5.94,29.65,87.37,2446.52,48.61
86.5,5.55,17.72,4.93,53.45,2.86,0.34,40.8,30.7,731.17,68.49
62.36,14.87,40.46,5.73,45.59,1.66,1.26,21.57,35.0,1762.64,69.04
101.23,57.68,20.53,3.69,52.29,0.31,4.59,40.98,56.66,617.18,48.94
87.9,73.94,104.2,5.55,10.28,2.27,5.79,12.19,21.56,121.06,59.64
21.13,7.63,197.64,8.52,36.71,0.81,6.32,28.68,93.69,311.52,44.12
128.17,92.08,6.87,8.96,23.12,3.02,5.18,20.25,53.08,1406.57,62.97
43.21,97.36,92.23,3.56,33.24,2.55,6.08,42.56,62.38,2666.17,51.82
123.92,60.6,77.21,3.55,38.71,2.7,1.41,11.65,89.56,1432.19,75.72
130.04,48.12,67.92,4.45,51.52,1.07,5.3,10.66,66.09,378.61,57.63
30.4,74.14,66.37,9.17,6.75,2.25,3.46,38.33,26.38,427.56,53.1
12.27,32.84,179.0,6.55,14.02,1.9,7.33,35.89,84.25,1861.95,56.32
156.15,49.33,3.8,9.89,55.68,1.01,4.96,15.43,93.27,2576.2,45.79
91.96,91.62,154.98,9.27,58.2,2.86,4.38,42.97,84.66,960.53,57.88
11.63,95.57,50.59,9.29,8.05,1.97,4.67,40.58,35.21,1649.93,44.67
198.97,92.71,76.66,4.34,23.25,0.75,6.67,18.5,58.49,2677.02,40.67
11.56,26.24,84.03,6.59,5.54,1.14,0.19,33.95,43.96,397.46,62.72
139.01,23.25,60.95,9.96,46.66,0.87,6.9,25.0,67.84,469.52,53.43
196.74,29.77,18.71,4.47,42.51,1.16,0.33,29.63,86.98,1131.55,52.99
47.84,44.13,22.87,7.23,36.06,0.74,4.7,37.69,52.01,1360.32,61.45
28.45,31.42,59.63,5.74,43.04,1.36,4.07,32.08,67.39,688.47,52.78
24.28,37.42,164.36,6.02,34.58,2.46,3.03,13.29,20.82,1648.82,71.25
60.66,62.06,26.93,9.29,18.14,3.36,1.12,31.22,48.06,2694.26,66.53
20.21,76.25,148.53,7.32,46.49,0.82,1.08,16.49,69.68,2653.74,55.95
138.43,73.56,57.77,8.43,48.08,1.12,5.96,25.6,99.24,185.69,56.11
12.46,81.44,176.69,7.88,51.98,0.11,1.0,23.75,42.26,1810.58,50.26
101.88,3.22,85.67,6.94,57.47,0.87,5.53,12.93,33.98,645.16,60.65
199.34,4.77,34.34,8.65,46.11,1.52,7.92,13.47,91.65,1992.23,36.05
162.79,78.94,197.17,9.81,8.0,1.67,5.49,37.57,65.01,1705.61,47.64
123.04,53.31,35.33,9.78,6.15,1.01,0.69,30.16,99.66,671.18,60.46
61.25,57.81,113.52,8.63,45.69,0.61,4.38,44.08,40.33,2822.98,54.68
124.78,5.26,113.86,6.67,8.08,2.01,6.69,43.3,35.66,1420.05,67.22
105.41,25.53,74.56,4.56,22.38,1.49,7.64,16.67,48.46,1175.91,64.26
85.22,63.84,190.3,3.79,12.49,1.55,5.85,39.94,66.23,2374.7,50.89
26.14,85.92,168.77,5.0,58.29,3.14,2.55,21.41,26.11,892.87,60.79
177.32,91.7,165.96,5.71,22.4,2.01,2.08,16.02,51.11,1775.5,65.27
89.96,50.04,194.83,4.34,8.03,1.42,6.29,25.81,25.25,613.63,56.47
38.92,54.55,91.42,4.96,57.23,0.96,6.11,19.98,72.62,183.74,54.73
73.55,83.3,19.44,4.04,38.48,1.56,3.94,27.8,47.53,1494.98,55.97
82.83,53.76,153.09,6.9,6.99,3.03,0.79,32.67,97.65,488.33,77.56
165.51,51.69,76.16,4.32,50.83,3.38,5.41,20.61,28.25,1082.09,67.44
146.72,90.51,38.07,8.33,13.39,1.38,4.76,29.05,91.55,1428.61,51.29
153.86,78.99,96.65,5.66,49.13,0.81,0.19,31.9,22.1,17.78,56.49
2.21,90.91,185.14,7.87,38.15,3.21,5.18,31.56,72.39,1044.95,57.5
83.23,21.82,34.27,9.24,14.74,0.59,1.15,42.36,95.83,1333.51,54.67
96.27,52.44,169.74,4.06,46.39,1.11,6.62,32.7,76.59,1635.54,63.52
3.84,84.25,83.64,9.93,30.0,0.79,5.42,21.64,22.45,2520.86,47.19
51.96,11.11,27.36,7.69,40.1,2.02,0.51,13.31,72.57,979.46,72.04
152.06,79.47,169.68,3.85,52.82,1.49,4.3,27.04,43.08,2766.65,47.76
27.42,18.3,193.92,5.54,19.32,1.08,6.46,30.16,78.37,1009.05,53.39
107.06,80.81,58.25,9.26,25.13,2.71,6.66,29.47,56.16,1693.32,65.93
43.04,61.2,60.71,7.38,59.85,2.36,0.77,29.26,69.48,234.14,75.74
2.42,19.32,78.11,5.37,32.95,3.48,0.72,23.14,21.9,1206.4,75.13
48.24,47.34,162.83,9.61,35.72,1.16,6.22,43.52,42.42,2332.91,42.45
195.17,68.19,2.08,8.62,20.7,2.97,1.94,31.45,44.15,890.98,58.62
160.31,63.39,44.79,8.28,27.88,1.13,4.79,17.78,55.81,33.55,53.98
191.92,42.72,141.18,9.27,32.59,0.13,4.91,10.22,90.45,2785.59,47.67
97.57,89.94,81.13,8.5,19.21,0.61,5.08,29.96,49.53,20.54,56.43
21.95,51.93,66.06,5.36,18.1,1.83,2.77,36.12,76.29,799.11,66.82
109.59,50.59,174.46,7.3,38.03,2.85,0.42,13.83,48.54,2706.61,77.46
90.88,6.23,183.47,8.97,15.1,0.3,4.35,26.32,36.08,412.73,48.84
168.87,92.21,189.6,4.68,35.44,2.93,4.17,44.02,57.03,2578.32,51.95
19.62,17.71,54.51,4.56,43.84,2.53,3.52,27.3,39.49,2868.03,55.87
97.65,52.83,182.5,4.53,15.9,0.22,2.31,39.87,24.22,1869.28,57.62
30.01,80.36,147.39,4.76,46.02,0.46,6.76,14.92,37.14,997.32,46.32
64.94,21.55,30.84,4.17,24.78,0.36,3.02,25.82,26.61,925.39,57.58
147.47,52.74,122.05,8.94,59.59,2.41,1.1,22.37,23.79,415.95,60.08
95.2,24.07,5.27,8.82,58.85,2.01,6.09,10.99,79.09,2705.25,46.0
75.18,75.97,141.68,4.48,48.92,1.32,5.13,28.24,75.61,2381.57,59.86
78.9,56.43,146.71,8.09,23.85,0.4,2.54,23.96,32.28,669.58,62.69
91.89,85.6,157.87,7.58,56.55,1.44,1.29,31.41,23.26,2005.78,57.8
157.0,89.46,34.51,5.3,59.93,2.42,3.57,29.13,21.9,1777.78,57.7
178.42,64.87,125.65,4.98,30.43,0.42,0.62,25.87,78.52,423.65,62.82
191.07,72.54,35.77,5.13,38.8,3.01,1.86,13.54,53.87,714.75,67.64
157.38,54.92,189.33,8.25,5.33,0.31,7.72,25.49,54.37,405.67,39.33
63.08,38.44,135.0,5.58,7.39,2.17,1.29,43.99,25.1,1617.08,62.03
137.63,64.81,19.07,5.31,32.53,0.74,2.27,19.6,84.1,581.02,64.51
87.52,90.83,37.41,3.65,38.51,0.41,1.2,23.47,43.34,2950.74,55.81
50.93,41.67,132.69,9.4,22.18,1.31,7.3,39.45,53.59,827.91,56.92
168.17,31.44,95.33,8.39,10.45,2.37,7.41,28.2,55.36,2168.58,61.78
7.69,38.84,147.26,6.57,48.02,0.51,0.57,10.07,90.56,979.67,59.37
180.35,43.54,56.16,9.63,28.03,1.72,7.2,28.88,86.66,1072.61,53.05
92.3,7.36,131.58,5.41,40.69,1.48,1.22,40.52,46.29,933.54,62.59
127.44,49.84,35.39,7.89,40.76,1.55,3.24,34.16,25.88,325.06,71.02
131.87,49.43,108.74,5.48,35.08,3.31,4.73,36.5,64.58,2782.65,74.49
179.02,58.84,191.56,5.54,14.82,1.29,3.75,11.34,41.94,2336.59,56.95
127.33,36.28,125.64,8.99,38.88,3.47,1.17,16.27,44.71,710.96,73.49
122.79,61.31,10.0,8.62,22.71,1.93,6.35,30.48,90.6,922.4,60.06
13.33,87.82,197.75,5.41,50.05,2.96,5.53,15.36,78.91,1323.33,52.4
103.68,95.55,31.37,4.03,15.63,1.29,7.54,36.39,51.18,2323.91,50.13
30.03,58.36,143.61,5.82,21.01,0.39,2.89,17.94,71.78,2629.18,60.79
147.49,4.26,106.51,8.44,29.22,0.39,3.5,21.13,35.31,2303.59,51.61
102.44,96.92,58.87,4.15,45.7,2.05,2.86,11.46,73.4,2850.18,60.65
136.05,70.59,35.46,7.87,44.64,3.26,0.6,24.92,25.01,2283.46,77.7
8.33,33.6,35.54,9.28,23.54,0.34,0.53,18.95,72.53,671.86,53.2
16.96,14.72,171.68,4.66,33.09,2.44,6.11,11.16,90.93,1135.65,56.94
143.26,14.34,174.58,9.1,17.88,2.02,2.35,14.69,66.44,2227.36,55.88
14.42,16.77,93.03,3.83,47.37,2.32,3.95,23.73,47.23,379.68,55.83
14.25,4.56,20.72,7.83,15.82,0.83,7.83,21.98,64.67,689.3,45.77
2.42,90.22,176.83,8.64,50.06,0.34,0.24,40.13,46.5,2946.14,37.07
191.3,54.08,97.4,6.39,56.53,0.35,4.19,20.6,43.32,1994.63,57.83
147.5,70.0,87.75,4.82,59.54,0.94,4.19,24.53,20.39,534.66,51.65
70.65,82.81,81.47,9.51,52.13,0.83,7.99,24.3,40.14,276.77,45.27
59.31,79.15,73.0,3.63,17.19,0.53,6.69,30.96,91.51,2887.01,49.9
69.94,88.26,105.2,7.11,27.91,1.0,0.63,41.6,34.33,1496.25,62.31
154.93,96.73,120.91,5.92,9.89,1.92,1.34,33.61,70.67,1262.74,68.83
132.27,43.91,93.29,6.5,14.05,3.33,0.37,39.34,69.09,2389.27,89.14
37.04,95.03,179.33,6.99,7.73,3.24,1.65,16.55,38.06,2007.65,64.82
34.82,72.33,63.53,6.98,40.26,1.02,1.78,39.38,81.74,1674.23,60.07
19.68,7.07,115.66,4.82,34.33,0.33,0.81,34.51,55.14,686.63,58.68
132.06,68.18,59.99,7.92,55.44,3.49,4.27,20.32,83.78,1665.87,65.35
152.87,68.67,150.67,3.62,30.47,1.72,7.8,41.34,20.99,1620.97,49.39
53.01,90.59,20.42,3.64,40.33,3.43,6.45,33.28,31.92,304.4,50.86
4.19,37.29,37.74,6.61,27.09,1.93,1.71,26.37,50.04,1503.81,66.43
16.43,58.49,160.24,7.02,50.62,3.11,6.29,34.66,58.0,1807.48,66.82
193.57,1.22,36.64,5.29,55.95,1.62,7.86,10.24,63.71,2192.89,41.26
59.09,33.21,125.15,7.09,28.75,2.21,6.7,21.32,83.1,1666.18,73.36
153.84,6.22,194.05,6.85,9.55,1.92,3.8,37.18,92.24,1680.4,56.6
124.93,52.19,104.58,5.77,13.99,0.85,2.23,40.07,45.38,1700.49,65.21
76.39,81.74,37.48,7.74,44.63,2.7,6.01,38.01,90.95,812.02,62.08
41.14,20.64,64.14,9.73,22.89,0.29,6.31,35.59,41.31,2627.15,40.3
24.28,52.74,164.69,6.69,48.2,1.33,2.45,27.42,25.73,1853.25,62.4
123.0,20.4,70.33,8.61,46.24,3.06,1.87,16.64,66.39,2048.42,70.12
154.93,12.07,144.7,5.11,43.19,1.81,5.41,13.88,73.29,1507.97,57.02
128.78,51.1,155.47,8.45,49.78,0.36,7.12,42.34,43.63,439.67,51.18
106.06,7.91,100.24,7.72,46.61,0.81,0.26,17.38,33.57,479.96,67.62
8.39,58.74,156.64,7.66,39.79,0.47,7.9,18.58,27.75,1380.34,47.03
193.7,3.13,63.38,9.3,5.23,1.04,1.62,35.26,55.28,2613.36,43.78
159.74,10.67,103.23,5.02,33.36,0.66,2.86,36.46,52.72,363.46,64.64
58.56,55.0,137.31,5.89,37.74,2.52,0.52,24.29,42.8,1508.37,79.19
195.99,59.14,33.61,4.04,57.84,2.34,0.54,12.63,37.67,119.15,48.98
120.38,2.9,54.72,8.22,40.78,0.56,2.25,26.96,23.12,2615.44,55.55
116.48,57.34,130.41,8.99,36.65,1.61,4.56,38.45,75.12,784.43,67.36
149.61,83.85,131.07,6.14,34.77,1.11,7.22,40.87,51.26,1053.95,62.34
162.35,72.23,98.66,5.82,10.68,1.25,0.65,32.76,37.27,492.45,67.56
131.3,13.12,159.12,7.78,28.52,2.06,4.41,33.96,61.28,941.17,71.56
25.62,59.25,96.41,3.99,12.39,3.16,3.39,10.83,90.46,1178.78,69.65
67.65,67.23,176.26,5.41,7.9,3.15,7.92,17.46,38.6,479.56,65.93
185.62,3.72,147.18,5.88,23.12,1.5,1.58,36.15,69.06,845.46,59.82
44.92,85.53,62.94,6.87,40.5,1.44,3.02,28.57,93.43,2053.72,72.32
74.43,90.63,79.05,6.6,52.67,1.86,0.36,30.54,50.48,2601.78,68.6
86.42,85.05,133.54,4.86,49.57,1.71,7.32,38.36,95.89,1944.06,58.62
87.88,82.46,178.89,7.02,21.21,0.31,5.02,33.43,21.01,2888.25,52.98
122.59,74.5,35.74,9.52,7.53,2.07,4.74,24.7,29.5,737.49,59.39
188.62,63.34,102.93,3.68,27.15,2.09,0.48,44.09,62.64,1084.61,66.17
48.14,67.86,23.76,7.92,22.31,1.63,0.88,18.46,59.89,987.16,65.87
24.3,80.64,55.89,7.56,25.42,1.51,6.34,21.9,98.6,1590.55,51.53
39.49,66.25,137.2,9.51,35.75,3.29,4.44,33.37,31.44,2138.96,69.47
177.38,32.77,15.55,7.69,6.67,2.14,1.67,18.12,99.26,635.49,63.04
129.16,37.6,132.47,7.56,25.39,2.88,4.44,23.32,88.16,2473.0,78.69
57.18,89.71,180.16,8.5,35.72,3.34,7.75,34.2,37.82,1016.36,55.79
163.19,1.71,193.87,5.24,28.7,2.85,0.92,21.83,49.4,1388.65,70.44
172.27,69.88,43.33,7.37,41.7,3.31,7.76,12.0,29.58,2508.07,59.39
169.3,95.48,149.78,6.88,15.24,2.68,6.22,29.6,92.7,983.51,60.47
183.79,70.62,185.27,6.35,13.46,0.68,1.24,36.95,50.85,2010.69,53.86
50.45,99.39,18.27,4.02,21.93,0.87,6.54,36.0,23.1,1390.84,48.78
151.01,68.75,82.8,5.4,10.6,0.76,5.98,31.74,66.2,820.35,59.93
92.11,3.44,183.88,5.32,17.99,1.2,4.63,36.78,40.63,1343.62,58.33
168.4,82.7,40.56,8.21,9.78,1.31,6.22,16.98,50.75,2277.67,49.95
145.7,28.46,186.75,9.48,27.11,2.86,1.22,35.69,57.56,2004.18,64.6
155.29,44.61,105.44,5.0,44.13,1.33,5.8,11.75,26.1,2264.17,61.99
131.23,31.21,19.98,3.99,20.76,2.57,5.16,35.9,59.14,940.92,56.01
35.49,26.86,89.98,10.0,5.21,3.17,2.35,11.77,43.09,2311.72,56.81
109.01,43.14,65.25,7.99,35.64,0.49,5.55,37.0,76.98,1214.15,60.41
196.93,37.88,56.44,9.26,43.06,0.1,5.46,40.97,40.48,1610.75,42.89
187.48,63.33,108.3,4.44,26.52,3.12,1.99,39.02,95.53,2635.82,60.95
8.63,81.32,96.72,8.7,21.33,0.91,1.27,22.2,79.39,2153.08,53.28
32.96,29.71,96.39,8.79,31.99,0.62,2.96,44.13,29.57,2146.28,55.78
26.35,21.37,17.63,4.48,10.57,1.1,3.25,28.14,31.19,1498.43,49.78
145.2,66.69,160.46,4.55,40.42,0.73,6.61,23.27,48.74,1739.5,56.29
163.56,67.03,96.29,5.42,45.33,2.8,3.55,30.38,22.18,2263.69,65.1
42.7,90.11,164.18,4.91,43.75,2.26,5.92,20.67,23.92,12.24,53.69
101.17,1.59,164.92,9.84,23.08,0.67,3.76,16.24,77.5,1239.97,53.16
168.14,85.3,63.43,5.86,51.35,2.08,0.63,15.72,46.18,898.19,61.47
146.56,52.1,0.87,8.45,57.08,0.81,5.26,15.93,36.29,766.7,47.55
108.45,62.13,182.25,8.73,21.34,0.77,7.17,17.99,49.45,2487.12,54.84
118.07,9.14,152.14,6.01,19.45,2.12,4.19,41.03,98.61,1430.04,64.58
101.67,43.26,21.45,7.94,43.73,2.36,5.65,24.16,92.19,149.64,65.22
59.51,22.73,140.35,4.2,43.96,1.28,6.25,10.0,40.37,2927.93,50.41
113.0,25.42,4.0,6.08,33.07,2.7,3.79,20.64,26.11,439.84,70.76
137.78,50.41,5.55,9.79,55.78,2.95,2.07,44.86,46.26,1300.62,59.66
174.66,81.25,105.16,4.6,13.05,3.22,6.89,35.77,20.71,1895.39,60.62
127.26,74.38,19.21,6.01,31.26,2.23,6.65,27.63,37.74,1692.87,70.07
152.22,59.1,192.87,8.64,6.94,0.85,6.89,14.46,69.96,1305.76,48.58
32.01,53.94,178.77,7.83,7.9,2.64,6.62,25.95,27.18,913.65,59.94
92.31,42.73,129.96,7.6,7.95,0.47,1.15,32.39,33.77,1707.05,66.84
1.87,97.27,12.74,9.05,32.05,0.72,3.38,42.16,54.52,2566.61,44.19
49.34,56.02,64.97,3.69,37.39,2.93,1.61,27.22,77.2,719.92,69.21
145.29,25.4,74.34,8.51,5.19,3.2,1.33,29.18,62.19,189.0,73.25
198.36,23.01,96.18,9.24,39.79,0.33,6.27,29.87,78.66,1073.15,45.9
19.84,61.14,33.78,3.61,31.93,1.16,3.9,43.28,27.4,2242.1,49.93
80.3,52.28,115.5,7.13,17.31,2.24,0.82,21.86,32.91,2974.01,78.35
160.01,0.77,87.15,5.77,5.83,3.29,3.31,40.12,91.24,1952.77,65.94
40.81,83.01,189.46,3.83,13.59,2.04,7.95,25.1,96.77,1527.97,39.83
111.02,70.41,187.24,6.22,38.02,2.89,1.78,35.93,85.65,230.31,76.43
146.61,66.18,113.09,7.69,41.24,3.24,3.24,26.91,77.61,1023.65,76.85
123.2,6.88,128.87,9.47,40.59,1.86,4.8,29.4,24.13,169.92,58.33
37.6,36.21,27.56,7.53,13.42,2.62,1.68,21.52,99.89,1260.72,68.85
71.08,93.54,44.66,9.07,55.12,2.35,7.75,24.51,36.87,1471.46,56.54
156.76,86.26,180.14,4.29,27.6,2.38,5.12,28.39,52.93,823.99,56.87
110.85,28.55,139.83,4.87,47.24,1.86,1.91,31.15,70.29,209.61,62.84
1.05,15.71,37.89,9.81,14.16,2.22,3.63,22.96,63.4,1281.19,46.51
152.2,44.91,114.04,9.27,30.88,1.98,2.95,39.2,99.27,2912.95,59.94
7.06,35.58,186.95,5.03,33.68,2.27,1.07,35.17,67.42,965.68,61.22
149.15,68.22,69.03,7.54,47.37,1.82,2.35,25.8,37.74,942.25,70.38
40.5,96.64,37.16,5.86,39.18,0.86,4.47,35.72,65.08,444.75,58.42
191.61,36.3,188.41,6.55,26.96,2.46,0.8,10.23,46.03,1667.84,70.52
73.59,6.22,92.25,9.1,20.54,1.41,0.48,30.77,73.24,1608.06,63.25
65.39,89.76,83.45,8.28,58.51,0.53,4.38,28.39,23.14,1158.64,53.44
29.78,3.79,53.51,5.05,20.65,2.99,3.53,28.01,42.11,2682.09,63.63
61.12,95.28,178.32,5.55,12.12,0.72,1.59,31.12,63.87,282.44,60.6
175.33,66.46,169.12,5.38,21.52,1.94,5.73,38.09,82.14,2763.62,58.19
199.27,94.17,80.6,8.57,22.98,2.55,0.79,11.61,86.68,1235.08,64.08
73.66,19.97,6.12,6.69,12.03,2.3,2.24,15.21,93.16,407.76,67.11
89.72,4.07,89.33,9.68,43.95,0.65,0.9,10.34,50.26,1690.67,60.33
144.41,48.82,36.17,8.81,39.05,0.76,5.85,18.32,66.98,2039.55,58.09
177.24,45.06,28.55,4.87,22.41,0.61,5.1,44.22,66.87,838.15,47.1
118.61,33.15,78.62,8.61,59.62,0.35,1.59,23.07,91.95,2511.08,58.14
78.31,95.77,19.82,6.79,41.03,1.06,4.5,30.19,87.7,33.61,56.23
82.52,82.26,191.49,5.15,43.68,1.88,5.6,44.65,53.96,1046.28,55.79
139.12,66.16,9.51,5.86,35.65,0.69,0.37,31.95,67.6,2633.64,64.18
0.64,16.29,80.27,9.82,35.34,3.4,5.34,15.99,93.26,2032.96,54.91
123.92,73.43,32.54,6.65,6.1,2.48,2.56,38.18,99.99,671.36,67.06
71.1,72.7,137.76,8.18,47.4,2.08,1.17,29.32,79.08,1362.72,65.97
158.84,42.51,15.76,6.6,55.09,2.42,6.59,44.84,25.48,804.09,57.89
18.6,92.48,109.36,5.92,11.72,1.58,4.89,36.43,91.35,1420.7,53.75
117.64,16.7,154.62,8.68,48.76,1.7,4.42,44.82,58.23,2512.4,55.59
96.19,26.73,190.01,9.01,34.39,3.12,6.71,41.18,48.05,151.64,61.85
128.47,6.32,139.71,3.97,20.69,2.55,2.19,16.37,43.21,737.05,66.45
12.97,79.55,19.9,5.31,55.65,2.1,0.21,36.18,84.3,94.07,52.05
116.0,62.18,17.7,6.8,5.96,3.33,7.59,27.43,91.86,2974.23,70.0
112.3,31.49,146.32,5.56,20.07,2.35,2.18,14.54,74.86,478.01,74.3
112.13,16.38,43.07,8.59,53.74,1.46,5.1,29.87,24.77,845.13,66.52
120.7,4.01,89.45,4.25,31.46,0.26,7.82,13.28,98.95,2559.62,46.51
135.29,16.67,195.32,8.69,37.94,1.43,1.95,36.67,64.62,1534.63,62.94
161.0,45.33,163.98,7.52,46.24,3.24,7.94,22.64,86.2,2833.02,60.52
53.96,24.72,169.32,5.38,13.14,0.25,4.36,38.31,77.69,1770.63,54.93
165.01,25.9,172.15,5.74,16.83,0.73,7.68,33.88,46.82,2165.94,51.81
99.65,87.56,123.91,4.69,59.92,2.85,0.78,40.74,93.43,1851.29,62.97
